video_titles,video_url,source
ESTO ACABA DE PASAR! AMLO SORPRENDE CON NUEVA REFORMA. HUNDIRÁ A CABEZA DE VACA. MEXICO NOTICIA. HOY,https://www.youtube.com/watch?v=TgWaLu8m93o,el chapucero today
ESTO ACABA DE PASAR! DIEGO DESESPERADO! DECISIÓN DE AMLO Y MACEDONIO CAMBIARÁ TODO. MEXICO NOTICIA,https://www.youtube.com/watch?v=SXz1kiA_9p0,el chapucero today
"ESTO ACABA DE PASAR! AMLO DESCUBRE SECRETO, PEÑA LO ESCONDIO AÑOS. NO LO PODIA CREER. NOTICIA MEXICO",https://www.youtube.com/watch?v=8Xi3gZRVXsg,el chapucero today
"ESTO ACABA DE PASAR! CAEN EN LA TRAMPA DE AMLO, EXHIBE A JUEZ QUE SIRVE A ESPAÑOLAS. NOTICIA MEXICO",https://www.youtube.com/watch?v=GivP6BA_P3U,el chapucero today
"ESTO ACABA DE PASAR! AMLO DOBLÓ A EXTRANJERAS, QUIEREN ACUERDO CON LA 4T! GRAN NOTICIA. MEXICO",https://www.youtube.com/watch?v=jlik02kq5hY,el chapucero today
ESTO ACABA DE PASAR! SANTIAGO SE REÚNE CON DIPUTADOS. CABEZA DE VACA PIDE CLEMENCIA. MEXICO NOTICIA,https://www.youtube.com/watch?v=ZtBiOeGCjyM,el chapucero today
ESTO ACABA DE PASAR! TIRAN VALLA EN EL ZOCALO. LOS SORPRENDIÓ A TODOS. NOTICIA. MEXICO. EN VIVO,https://www.youtube.com/watch?v=-YRSTFIusIk,el chapucero today
ESTO ACABA DE PASAR! AMLO TOMÓ INESPERADA DECISIÓN! PARÓ EN SECO A CONSERVAS MEXICO NOTICIA SE ACABÓ,https://www.youtube.com/watch?v=8Zhr_Pq4RwQ,el chapucero today
ESTO ACABA DE PASAR! AMLO TOMÓ DECISIÓN DE ULTIMA HORA. HACE CAMBIO EN GRAN OBRA. MEXICO NOTICIA,https://www.youtube.com/watch?v=7XdrQqRxh6s,el chapucero today
ESTO ACABA DE PASAR! A EEUU RECHAZA DECISIÓN DE AMLO! SE VAN CONTRA EL EJERCITO! MEXICO NOTICIA,https://www.youtube.com/watch?v=MH-5aUx5Txc,el chapucero today
ESTO ACABA DE PASAR! AMLO DECIDE ENFRENTAR DEMANDAS DESDE EEUU! SALVARÁ A MEXICO ESTO CAMBIARÁ TODO,https://www.youtube.com/watch?v=bTG7De45WMs,el chapucero today
ESTO ACABA DE PASAR! AMLO DESPIDIÓ A EMPRESA DE EEUU! DECISIÓN SORPRENDIÓ A TODOS! MEXICO NOTICIA LO,https://www.youtube.com/watch?v=EpqrbHvevbY,el chapucero today
ESTO ACABA DE PASAR! NO VAS A CREER LO QUE AMLO DIJO A BIDEN. FILTRAN VIDEO. DEFENDIÓ A MEXICO. EEUU,https://www.youtube.com/watch?v=8HpZA7CmSNc,el chapucero today
ESTO ACABA DE PASAR! SALGADO MACEDONIO SE REBELA! NO VAS A CREER LO QUE DIJO! NOTICIA MEXICO,https://www.youtube.com/watch?v=wGB9vkGEsO8,el chapucero today
ESTO ACABA DE PASAR! OBRADOR TERMINÓ CON PESADILLA DE 15 AÑOS! SALVÓ A MEXICO CON DECISIÓN. NOTICIA,https://www.youtube.com/watch?v=6bJC5Sfyqzs,el chapucero today
ESTO ACABA DE PASAR! OBRADOR ALISTA PLAN PARA ENFRENTAR A EEUU! NO LO VAS A CREER. NOTICIA MEXICO,https://www.youtube.com/watch?v=TPHjnGKjaCQ,el chapucero today
ESTO ACABA DE PASAR! SANTIAGO SACA ORDEN ARRESTO Y HUNDE A GILBERTO. NO LO VAS A CREER. GRAN NOTICIA,https://www.youtube.com/watch?v=YWrAEsQjoMw,el chapucero today
ESTO NO LO VAS A CREER! NUEVO ACUERDO DE AMLO Y RUSIA! FABRICARAN SPUTNIK EN MEXICO. CAMBIARÁ TODO,https://www.youtube.com/watch?v=T9LtJSB-07w,el chapucero today
ESTO ACABA DE PASAR! ASÍ EXHIBIÓ AMLO A TRAIDORES! Y APRUEBAN SU LEY. SE ACABÓ! GRAN NOTICIA MEXICO,https://www.youtube.com/watch?v=2sg9PKAm45Y,el chapucero today
ESTO ACABA DE PASAR! TEMEN DECISIÓN DE AMLO DESDE EEUU! ACUSA A TRAIDORES. INESPERADO NOTICIA MEXICO,https://www.youtube.com/watch?v=Xfo2_wbakOM,el chapucero today
"ESTO ACABA DE PASAR! EEUU ENFURECE TRAS LLAMADA DE MEXICO CON RUSIA, CHINA AYUDA A AMLO! NOTICIA",https://www.youtube.com/watch?v=9cJUbimw-Gk,el chapucero today
ESTO ACABA DE PASAR! MADURO HACE OFERTA A OBRADOR DE ULTIMA HORA! NO LO VIO VENIR. NOTICIA MEXICO,https://www.youtube.com/watch?v=cxCenWDrSSU,el chapucero today
SOPRENDIÓ A TODOS! OBRADOR ANUNCIA NUEVO DECRETO TERMINARÁ LOS PROBLEMAS CON TEXAS! SE ACABÓ. MEXICO,https://www.youtube.com/watch?v=WrME4MlLxI8,el chapucero today
GRAN JUGADA! OBRADOR RECIBE APOYO MUNDIAL! MEXICO PUSO EL EJEMPLO. ESTO ACABA DE PASAR. MEXICO,https://www.youtube.com/watch?v=iGcsNAG3vX4,el chapucero today
"DE ULTIMA HORA! SORPRENDE OBRADOR, DESDE EEUU RECONOCEN SU DECISIÓN! NO LO VIERON VENIR GRAN NOTICIA",https://www.youtube.com/watch?v=limy9fe4Dlc,el chapucero today
"DE ULTIMA HORA! AVANZA PROYECTO DE AMLO, UNICO EN EL MUNDO! ESTO CAMBIARA TODO. GRAN NOTICIA. MEXICO",https://www.youtube.com/watch?v=jEzE0oQl9RA,el chapucero today
"DE ULTIMA HORA! TENÍA RAZÓN, DECISIÓN DE AMLO CAMBIARÁ TODO! EEUU NOS LLEVÓ AL BAILE. MEXICO NOTICIA",https://www.youtube.com/watch?v=KkbfQYRtYBw,el chapucero today
"DE ULTIMA HORA! PIERDE LENCHO, TRIBUNAL DA LA RAZÓN A AMLO! SE HUNDE SU PLAN. GRAN NOTICIA MEXICO",https://www.youtube.com/watch?v=j2z-zuVMgiY,el chapucero today
